Date,capacity
2000-01-01,82.1714
2000-02-01,82.1694
2000-03-01,82.2095
2000-04-01,82.4575
2000-05-01,82.4056
2000-06-01,82.1920
2000-07-01,81.7778
2000-08-01,81.2898
2000-09-01,81.3435
2000-10-01,80.7922
2000-11-01,80.5410
2000-12-01,80.0006
2001-01-01,79.3437
2001-02-01,78.5710
2001-03-01,78.1158
2001-04-01,77.5972
2001-05-01,76.9635
2001-06-01,76.3285
2001-07-01,75.6660
2001-08-01,75.3958
2001-09-01,74.8236
2001-10-01,74.4246
2001-11-01,73.8377
2001-12-01,73.6627
2002-01-01,74.0676
2002-02-01,73.9589
2002-03-01,74.4162
2002-04-01,74.7011
2002-05-01,74.9611
2002-06-01,75.5385
2002-07-01,75.4869
2002-08-01,75.3938
2002-09-01,75.4687
2002-10-01,75.2824
2002-11-01,75.7125
2002-12-01,75.3132
2003-01-01,75.9649
2003-02-01,76.0853
2003-03-01,75.9063
2003-04-01,75.4518
2003-05-01,75.4618
2003-06-01,75.5816
2003-07-01,75.9888
2003-08-01,75.8306
2003-09-01,76.3383
2003-10-01,76.4457
2003-11-01,76.9771
2003-12-01,77.0234
2004-01-01,77.1612
2004-02-01,77.6396
2004-03-01,77.3544
2004-04-01,77.6821
2004-05-01,78.2570
2004-06-01,77.6620
2004-07-01,78.2429
2004-08-01,78.3106
2004-09-01,78.3927
2004-10-01,79.0638
2004-11-01,79.2285
2004-12-01,79.8082
2005-01-01,80.0413
2005-02-01,80.5413
2005-03-01,80.3601
2005-04-01,80.4339
2005-05-01,80.4250
2005-06-01,80.6702
2005-07-01,80.3050
2005-08-01,80.4617
2005-09-01,78.7883
2005-10-01,79.6396
2005-11-01,80.3980
2005-12-01,80.6819
2006-01-01,80.6908
2006-02-01,80.6125
2006-03-01,80.6663
2006-04-01,80.7769
2006-05-01,80.6674
2006-06-01,80.8002
2006-07-01,80.5962
2006-08-01,80.7810
2006-09-01,80.4523
2006-10-01,80.1929
2006-11-01,79.9831
2006-12-01,80.6125
2007-01-01,80.1385
2007-02-01,80.7326
2007-03-01,80.6935
2007-04-01,81.0730
2007-05-01,80.9550
2007-06-01,80.8393
2007-07-01,80.6142
2007-08-01,80.6999
2007-09-01,80.8586
2007-10-01,80.6013
2007-11-01,81.0633
2007-12-01,81.1334
2008-01-01,81.0815
2008-02-01,80.8357
2008-03-01,80.6256
2008-04-01,80.1238
2008-05-01,79.6718
2008-06-01,79.4693
2008-07-01,79.0950
2008-08-01,77.7872
2008-09-01,74.3062
2008-10-01,74.9571
2008-11-01,73.8807
2008-12-01,71.6823
2009-01-01,69.7982
2009-02-01,69.2778
2009-03-01,68.1200
2009-04-01,67.5007
2009-05-01,66.7873
2009-06-01,66.5532
2009-07-01,67.3455
2009-08-01,68.1236
2009-09-01,68.7596
2009-10-01,68.9939
2009-11-01,69.3689
2009-12-01,69.7136
2010-01-01,70.5918
2010-02-01,70.9754
2010-03-01,71.6373
2010-04-01,72.0473
2010-05-01,73.1966
2010-06-01,73.5082
2010-07-01,73.9324
2010-08-01,74.3310
2010-09-01,74.6547
2010-10-01,74.5429
2010-11-01,74.6746
2010-12-01,75.4597
2011-01-01,75.3400
2011-02-01,75.0288
2011-03-01,75.8190
2011-04-01,75.5255
2011-05-01,75.5784
2011-06-01,75.7276
2011-07-01,76.0009
2011-08-01,76.3842
2011-09-01,76.2147
2011-10-01,76.6224
2011-11-01,76.4885
2011-12-01,76.7512
2012-01-01,77.0743
2012-02-01,77.1823
2012-03-01,76.6382
2012-04-01,77.0523
2012-05-01,77.0632
2012-06-01,76.9351
2012-07-01,76.9584
2012-08-01,76.5269
2012-09-01,76.3502
2012-10-01,76.4688
2012-11-01,76.6589
2012-12-01,76.7539
2013-01-01,76.6511
2013-02-01,76.9174
2013-03-01,77.1389
2013-04-01,76.9643
2013-05-01,76.9553
2013-06-01,77.0265
2013-07-01,76.7152
2013-08-01,77.1048
2013-09-01,77.4610
2013-10-01,77.3148
2013-11-01,77.4524
2013-12-01,77.5640
2014-01-01,77.2190
2014-02-01,77.7522
2014-03-01,78.4825
2014-04-01,78.4738
2014-05-01,78.7310
2014-06-01,78.9229
2014-07-01,79.0163
2014-08-01,78.8163
2014-09-01,78.9895
2014-10-01,78.9292
2014-11-01,79.3647
2014-12-01,79.3040
2015-01-01,78.6338
2015-02-01,78.0854
2015-03-01,77.8104
2015-04-01,77.3473
2015-05-01,76.9844
2015-06-01,76.7496
2015-07-01,77.2342
2015-08-01,77.1213
2015-09-01,76.9102
2015-10-01,76.5691
2015-11-01,76.0077
2015-12-01,75.6338
2016-01-01,76.0323
2016-02-01,75.6159
2016-03-01,75.0559
2016-04-01,75.2543
2016-05-01,75.0727
2016-06-01,75.4151
2016-07-01,75.4735
2016-08-01,75.3862
2016-09-01,75.2897
2016-10-01,75.3271
2016-11-01,75.0219
2016-12-01,75.5453
2017-01-01,75.3784
2017-02-01,75.1225
2017-03-01,75.6429
2017-04-01,76.4106
2017-05-01,76.5629
2017-06-01,76.7832
2017-07-01,76.6891
2017-08-01,76.4472
2017-09-01,76.6181
2017-10-01,77.6540
2017-11-01,77.9439
2017-12-01,78.1791
2018-01-01,78.2060
2018-02-01,78.5556
2018-03-01,78.9760
2018-04-01,79.8677
2018-05-01,79.1543
2018-06-01,79.7837
2018-07-01,79.8874
2018-08-01,80.4472
2018-09-01,80.4471
2018-10-01,80.2713
2018-11-01,80.2728
2018-12-01,80.2161
2019-01-01,79.6792
2019-02-01,79.2011
2019-03-01,79.1387
2019-04-01,78.6260
2019-05-01,78.6889
2019-06-01,78.6717
2019-07-01,78.2415
2019-08-01,78.7426
2019-09-01,78.4845
2019-10-01,77.7075
2019-11-01,78.0665
2019-12-01,77.8163
2020-01-01,77.3913
2020-02-01,77.5663
2020-03-01,74.5352
2020-04-01,64.5714
2020-05-01,65.6487
2020-06-01,69.9664
2020-07-01,72.6784
2020-08-01,73.4452
2020-09-01,73.5298
2020-10-01,74.1142
2020-11-01,74.5927
2020-12-01,75.6169
2021-01-01,76.4136
2021-02-01,73.9408
2021-03-01,76.2498
2021-04-01,76.5375
2021-05-01,77.3697
2021-06-01,77.7972
2021-07-01,78.4064
2021-08-01,78.5176
2021-09-01,77.7675
2021-10-01,78.8064
2021-11-01,79.5489
2021-12-01,79.3243
2022-01-01,79.4322
2022-02-01,79.9253
2022-03-01,80.5162
2022-04-01,80.7112
2022-05-01,80.6275
2022-06-01,80.4742
2022-07-01,80.7318
2022-08-01,80.7118
2022-09-01,80.8369
2022-10-01,80.6377
2022-11-01,80.2626
2022-12-01,78.9195
2023-01-01,79.6064
2023-02-01,79.4951
2023-03-01,79.5063
2023-04-01,79.8082
2023-05-01,79.5813
