Name;Mean;Median;Std.Dev.;Min.;Max.;Skewness;Kurtosis
Y_ndx_loss;-0.051;-0.106;1.468;-10.072;9.274;0.051;6.733
ndx_loss_l1;-0.058;-0.116;1.549;-10.924;12.193;0.149;8.430
ndx_loss_l2;-0.037;-0.082;1.518;-12.580;12.193;-0.093;9.644
ndx_vol;2.419E+09;2.005E+09;1.177E+09;2.000;1.162E+10;2.301;9.454
aex_return;0.007;0.057;1.369;-10.753;9.984;-0.145;10.295
gdaxi_return;0.030;0.076;1.446;-12.239;11.277;-0.082;9.338
hsi_return;0.001;0.019;1.423;-8.654;14.347;0.490;11.263
topx_return;0.017;0.031;1.329;-9.523;13.729;-0.027;10.555
rut_return;0.032;0.083;1.591;-14.225;9.391;-0.529;10.249
ssec_return;0.022;0.038;1.540;-8.841;9.857;-0.156;8.586
irts_return;0.047;0.147;2.245;-38.302;17.812;-1.783;33.935
n100_return;0.011;0.056;1.293;-11.972;8.838;-0.313;9.652
vix_return;0.458;-0.340;7.782;-26.958;115.598;2.307;23.095
mktrf;0.031;0.070;1.270;-12.000;9.770;-0.533;12.732
smb;0.007;0.010;0.623;-4.550;5.710;0.118;7.217
hml;-0.011;-0.010;0.780;-4.700;6.740;0.388;11.511
rmw;0.020;0.010;0.488;-2.590;3.290;0.063;5.529
cma;0.004;0.000;0.387;-2.790;2.460;-0.188;7.471
rf;0.005;0.003;0.006;0.000;2.000;1.145;3.239
umd;0.013;0.060;1.081;-14.370;7.120;-1.070;17.587
dxy_return;-0.013;-0.010;0.483;-3.018;2.000;-0.148;4.958
oil_return;-0.089;0.069;6.226;-301.966;53.086;-34.563;1628.626
gold_return;0.017;0.033;1.103;-9.354;9.028;-0.299;9.394
wheat_return;0.013;-0.092;2.046;-8.811;9.193;0.355;4.524
silver_return;0.024;0.090;2.001;-13.718;12.971;-0.420;8.467
natgas_return;0.004;-0.069;3.766;-19.067;46.481;1.071;14.226
libor_1m;1.566;1.100;1.634;0.073;5.820;1.104;3.065
libor_3m;1.716;1.170;1.642;0.114;5.724;1.049;2.926
libor_6m;1.873;1.334;1.623;0.147;5.646;1.000;2.821
fedrate;1.420;0.930;1.603;0.040;5.410;1.167;3.218
baa10y;2.560;2.450;0.739;1.500;6.160;1.725;8.107
ust1m;1.292;0.795;1.531;0.000;5.950;1.184;3.322
ust3m;1.362;0.910;1.570;0.000;5.550;1.139;3.152
ust1y;1.580;1.170;1.570;0.040;5.300;0.954;2.728
ust2y;1.789;1.360;1.471;0.110;5.290;0.753;2.361
ust5y;2.408;2.170;1.287;0.190;5.230;0.346;2.048
ust10y;3.037;2.890;1.173;0.520;5.410;0.038;1.997
ust20y;3.578;3.450;1.215;0.960;6.050;-0.022;1.874
ust30y;3.695;3.635;1.119;1.170;5.910;-0.075;2.007
capacity_monthly;0.042;0.087;1.186;-13.368;6.577;-4.131;57.862
capacity_yoy;0.161;0.728;5.084;-17.875;18.532;-0.789;5.987
energy_monthly;0.761;1.317;7.750;-33.210;27.585;-0.422;4.950
energy_yoy;12.565;7.713;40.404;-60.828;168.819;0.901;4.259
housing_monthly;0.247;0.368;8.552;-26.993;23.958;0.081;2.985
housing_yoy;1.498;3.130;19.719;-54.797;60.432;-0.262;3.443
unemp_monthly;0.243;0.000;13.675;-17.647;234.091;15.728;269.130
unemp_yoy;4.121;-7.317;39.869;-58.503;308.333;3.804;23.203
manufac_monthly;0.333;0.474;5.547;-25.223;32.286;0.308;8.930
manufac_yoy;2.756;3.542;13.721;-42.277;45.358;-0.478;4.791
m2_monthly;0.534;0.478;0.630;-1.121;6.377;4.419;37.102
m2_yoy;6.986;6.167;4.531;-4.625;26.860;2.227;9.931
indpro_monthly;0.078;0.126;1.169;-13.381;6.501;-4.460;61.723
indpro_yoy;0.625;2.025;4.622;-17.262;16.183;-1.363;6.714
cpi_monthly;0.211;0.203;0.110;-0.198;2.000;1.183;6.508
cpi_yoy;2.512;2.348;1.018;0.668;6.617;2.059;9.086
gdp_quarterly;1.057;1.154;1.519;-8.262;8.710;-1.727;25.293
gdp_yoy;4.313;4.175;3.087;-6.882;16.970;0.134;7.752
