d;p;q;EMF mu (sigma);ERF mu (sigma);ECF mu (sigma)
;0.95;0.7;5.09 (0.37);4.71(0.24);25.46 (1.57)
;0.95;0.8;3.17 (0.1);2.83(0.09);8.33 (0.87)
;0.95;0.9;2.79 (0.08);2.75(0.08);13.28 (1.8)
;0.99;0.7;8802.46 (467.35);7736.41(280.36);53687.93 (1898.05)
10;0.99;0.8;400.77 (17.56);529.81(29.26);3292.81 (557.01)
;0.99;0.9;37.01 (4.23);46.45(3.84);235.13 (53.92)
;0.995;0.7;1711.71 (85.13);1525.59(53.85);7772.48 (249.27)
;0.995;0.8;83.89 (4.21);114.82(7.23);653.11 (127.93)
;0.995;0.9;8.04 (0.82);10.52(0.8);65.28 (12.96)
;0.95;0.7;2.7 (0.11);2.26(0.11);11.49 (0.78)
;0.95;0.8;3.78 (0.18);2.9(0.1);8.24 (1.11)
;0.95;0.9;3.04 (0.1);3.16(0.1);14.26 (2.53)
;0.99;0.7;3990.33 (127.81);4483.28(155.61);20584.26 (644.12)
20;0.99;0.8;248.79 (14.82);318.01(12.31);1384.27 (173.45)
;0.99;0.9;18.82 (2.06);24.32(2.64);205.8 (7.92)
;0.995;0.7;824.84 (26.18);919.89(31.89);3522.09 (113)
;0.995;0.8;49.24 (3.48);63.9(2.83);294.95 (42.35)
;0.995;0.9;4.98 (0.26);7.09(0.51);68.01 (2.24)
;0.95;0.7;7.48 (0.35);5.86(0.28);41.58 (2.98)
;0.95;0.8;1.91 (0.07);1.63(0.07);8.3 (0.57)
;0.95;0.9;2.02 (0.07);1.85(0.09);13.63 (2.17)
;0.99;0.7;6539.44 (210.53);6310.95(172.92);49824.43 (2242.84)
30;0.99;0.8;494.56 (20.62);504.04(25.22);2537.87 (388.61)
;0.99;0.9;26.62 (3.31);40.8(5.21);251.96 (33.27)
;0.995;0.7;1402.1 (44.43);1334.9(36.03);8084.86 (348.76)
;0.995;0.8;113.77 (5.22);114.88(6.42);557.12 (96.52)
;0.995;0.9;6.78 (0.65);10(1.24);81.38 (6.93)
