d;p;q;1;2;3
;0.95;0.7;10.2(0.48);10.72(0.55);453.95(124.01)
;0.95;0.8;6.45(0.16);6.23(0.17);145.52(36.43)
;0.95;0.9;6.96(0.16);6.67(0.16);47.17(4.92)
;0.99;0.7;6694.1(221.28);6527.78(256.06);1763972.12(540754.73)
10;0.99;0.8;472.02(24.41);546.57(22.18);112029.97(31080.22)
;0.99;0.9;45.76(4.34);108.79(12.41);2457.78(1051.88)
;0.995;0.7;1499.48(49.22);1467.39(58.15);164542.62(44972.42)
;0.995;0.8;109.45(6.27);127.26(5.61);17384.13(4338.81)
;0.995;0.9;18.4(0.67);33.66(2.81);581.24(250.63)
;0.95;0.7;9.46(0.48);13.12(0.52);262.89 (58.77)
;0.95;0.8;9.13(0.43);8.03(0.41);43.84(10.66)
;0.95;0.9;10.11(0.28);9.49(0.36);45.21(14.47)
;0.99;0.7;16160.58(984.37);13216.43(560.4);807215.2(147408.95)
20;0.99;0.8;806.55(45.44);979.46(56.37);37094.42(7200.33)
;0.99;0.9;54.21(3.09);61.42(4.74);1016.72(340.32)
;0.995;0.7;3147.78(174.22);2670.06(108.72);88477.19(15249.84)
;0.995;0.8;172.5(10.59);211.17(12.81);6337.95(1284.44)
;0.995;0.9;27.44(1.14);26.43(1.89);289.57(66.43)
;0.95;0.7;11.75(0.54);16.44(0.91);321.2(84.46)
;0.95;0.8;7.54(0.19);6.34(0.18);96.08(15.95)
;0.95;0.9;9.94(0.21);9.39(0.27);55.03(4.2)
;0.99;0.7;11243.29(358.1);13500.65(614.38);895339.62(186366.81)
30;0.99;0.8;832.81(46.49);997.18(54.45);78670.55(9065.02)
;0.99;0.9;132.8(10.2);193.75(19.34);2689.31(1242.07)
;0.995;0.7;2376.44(74.83);2875.52(126.77);98572.86(19633.08)
;0.995;0.8;196.12(12);232.72(14);12697.44(1346.02)
;0.995;0.9;46.42(2.61);60.13(5.05);679.78(305.69)
